Food Name,Measure,Weight (g),Energy (kcal),Energy (kJ),Protein (g),Carbohydrate (g),Total Sugar (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Calcium (mg),Iron (mg),Sodium (mg),Potassium (mg),Magnesium (mg),Phosphorus (mg),Vitamin A (RAE),Vitamin D (mcg),Folate (DFE),Vitamin B12 (mcg),Riboflavin (mg)
"Parmesan, grated",15 mL,6,27,114,2,0,0,2,1.1,0.006,70,0.1,97,8,2,46,8,0,1,0.14,0.03
"Processed cheese food, thin slices",1,21,78,327,5,0,0,7,4.1,0.02,115,0,310,35,6,107,53,0,2,0.15,0.07
"Processed cheese food, thin slices, light",1,21,50,209,4,2,2,3,1.8,0.011,110,0,331,69,7,173,53,0,4,0.23,0.1
"Processed cheese spread, light (Light Cheez Whiz )",30 mL,31,69,287,6,4,3,3,2.2,0.013,178,0,491,107,9,317,91,,,,0.2
"Ricotta cheese, partly skimmed milk",125 mL,131,181,756,15,7,0,10,6.5,0.041,356,0.6,164,164,20,240,140,,17,0.38,0.24
"Romano, grated",15 mL,6,25,103,2,0,0,2,1.1,0.007,67,0,76,5,3,48,6,0,0,0.07,0.02
Swiss (Emmental),50 g,50,190,795,13,3,1,14,8.9,0.046,396,0.1,96,39,19,284,110,0.6,3,1.67,0.15
"Swiss, processed, thin slices",1,21,70,291,5,0,0,5,3.3,0.018,161,0.1,285,45,6,159,41,0.2,1,0.26,0.06
"Half and half, 10% M.F.",15 mL,15,18,76,0,1,0,2,1,0.005,16,0,6,20,2,15,15,0,0,0.05,0.02
"Sour cream, 14% M.F.",15 mL,15,22,93,0,1,0,2,1.3,0.006,16,0,6,19,1,14,17,0.1,2,0.04,0.02
"Sour cream, light, 5% M.F.",15 mL,16,21,89,1,1,0,2,1,0.006,22,0,11,33,2,11,14,,2,0.07,0.02
"Table cream (coffee cream), 18% M.F.",15 mL,15,28,118,0,1,0,3,1.7,0.009,15,0,6,19,1,13,25,0.1,0,0.04,0.02
"Whipped, pressurized",60 mL,15,39,164,0,2,1,3,2.1,0.012,15,0,20,22,2,14,29,0.1,0,0.04,0.01
"Whipping cream, 35% M.F., not whipped",15 mL,15,49,207,0,0,0,5,3.3,0.019,10,0,5,12,1,9,62,0.1,1,0.03,0.02
"Whipping cream, 35% M.F., sweetened, whipped",60 mL,30,100,419,1,3,2,10,6.2,0.036,19,0,10,23,2,17,117,0.2,1,0.05,0.03
"Coffee whitener, frozen liquid",15 mL,15,21,87,0,2,2,2,0.3,0,1,0,12,29,0,10,0,0,0,0,0
"Coffee whitener, powdered",5 mL,2,11,45,0,1,1,1,0.6,0,0,0,4,16,0,8,0,0,0,0,0
"Coffee whitener, powdered, light",5 mL,2,9,36,0,1,1,0,0.1,0,0,0,5,18,0,3,0,0,0,0,0
"Dessert topping, frozen",60 mL,19,60,253,0,4,4,5,4.1,0,1,0,5,3,0,2,1,0,0,0,0
"Dessert topping, frozen, low fat",60 mL,19,42,175,1,4,4,2,2.1,0,14,0,14,19,1,14,1,,1,0.04,0.02
"Dessert topping, powdered, prepared with 2% milk",60 mL,20,37,153,1,3,3,2,2,0.001,19,0,12,31,2,18,9,0.2,1,0.07,0.03
"Dessert topping, pressurized",60 mL,18,47,196,0,3,3,4,3.4,0,1,0,11,3,0,3,1,0,0,0,0
"All flavours, instant, from mix, prepared with 2% milk",125 mL,139,149,623,4,27,23,3,1.6,0.009,141,0.2,391,206,18,307,65,1.3,6,0.54,0.23
"Chocolate, ready-to-eat",1 unit,99,138,575,3,23,18,4,0.7,0.003,89,0.5,128,178,21,79,10,,3,0,0.15
"Chocolate, ready-to-eat, fat-free",1 unit,99,96,402,3,20,15,0,0.2,0.001,72,0.8,168,139,19,75,47,,4,0.22,0.15
"Rice, homemade",125 mL,119,160,669,4,32,19,2,1.2,0.007,115,0.3,55,211,18,112,51,1,5,0.24,0.19
"Tapioca, ready-to-eat",1 unit,99,118,493,2,19,18,4,0.6,0.001,83,0.2,157,95,8,78,0,,3,0.21,0.1
"Tapioca, ready-to-eat, fat-free",1 unit,99,88,368,2,20,16,0,0,0.001,50,0.3,210,52,5,40,32,,2,0.15,0.1
"Vanilla, ready-to-eat",1 unit,99,128,534,2,22,20,4,0.6,0.007,87,0.1,134,112,8,67,6,,0,0.1,0.14
"Vanilla, ready-to-eat, fat-free",1 unit,99,92,385,2,22,16,0,0,0.001,59,0.4,211,71,7,49,40,,3,0.19,0.12
