Food code,Main food description
11812000,milk
11813000,milk
11825000,"Whey, sweet, dry"
11830100,caffeinated drinks
11830115,caffeinated drinks
11830150,"Cocoa powder, not reconstituted (no dry milk)"
11830160,"Chocolate beverage powder, dry mix, not reconstituted"
11830165,"Chocolate beverage powder, reduced sugar, dry mix, not reconstituted"
11830260,milk
11830400,"Strawberry beverage powder, dry mix, not reconstituted"
12100100,cream
12110100,cream
12110300,cream
12120100,cream
12120105,cream
12120110,cream
12130100,cream
12130200,cream
12140000,cream
12140100,cream
12140105,cream
12140110,cream
12200100,cream
12210100,cream
12210200,cream
12210210,cream
12210250,cream
12210255,cream
12210260,cream
12210270,cream
12210305,cream
12210310,cream
12210400,cream
12210410,cream
12210420,cream
12210430,cream
12210440,cream
12210500,cream
12210505,cream
12220000,cream
12220100,cream
12220200,cream
12220250,cream
12220270,cream
12220280,cream
12220300,cream
12220400,cream
12310100,cream
12310200,cream
12310300,cream
12310350,cream
12310370,cream
12320100,cream
12320200,cream
12350000,cream
12350020,cream
12350100,Spinach dip
12350110,Spinach and artichoke dip
13110000,ice cream
13110100,ice cream
13110110,ice cream
13110120,ice cream
13110130,ice cream
13110140,ice cream
13110200,ice cream
13110210,ice cream
13110220,ice cream
13110310,ice cream
13110320,ice cream
13110330,ice cream
13120050,ice cream
13120100,ice cream
13120110,ice cream
13120120,ice cream
13120121,ice cream
13120130,ice cream
13120140,ice cream
13120300,ice cream
13120310,ice cream
13120400,ice cream
13120500,ice cream
13120550,ice cream
13120700,ice cream
13120710,ice cream
13120720,ice cream
13120730,ice cream
13120740,ice cream
13120750,ice cream
13120760,ice cream
13120770,ice cream
13120780,ice cream
13120790,ice cream
13120800,ice cream
13120810,ice cream
13121000,ice cream
13121100,ice cream
13121200,ice cream
13121300,ice cream
13121400,ice cream
13121500,ice cream
13122100,ice cream
13122500,ice cream
13126000,ice cream
13127000,ice cream
13127010,ice cream
13130100,ice cream
13130300,ice cream
13130310,ice cream
13130320,ice cream
13130330,ice cream
13130340,ice cream
13130590,ice cream
13130600,ice cream
13130610,ice cream
13130620,ice cream
13130630,ice cream
13130640,ice cream
13130700,ice cream
13135000,ice cream
13135010,ice cream
13136000,ice cream
13140100,ice cream
13140110,ice cream
13140450,ice cream
13140500,ice cream
13140550,ice cream
13140570,ice cream
13140575,ice cream
13140580,ice cream
13140600,ice cream
13140630,ice cream
13140650,ice cream
13140660,ice cream
13140670,ice cream
13140680,ice cream
13140700,ice cream
13140710,ice cream
13140900,ice cream
13142000,desserts
13150000,"Sherbet, all flavors"
13160150,ice cream
13160160,ice cream
13160400,ice cream
13160410,ice cream
13160420,ice cream
13161000,desserts
13161500,desserts
13161520,desserts
13161600,desserts
13161630,ice cream
13170000,desserts
13200110,desserts
13210110,desserts
13210150,desserts
13210160,desserts
13210180,desserts
13210190,desserts
13210220,desserts
13210250,desserts
13210260,desserts
13210270,desserts
13210280,desserts
13210290,desserts
13210300,desserts
13210350,desserts
13210410,desserts
13210450,desserts
13210500,desserts
13210520,desserts
13210530,desserts
13210610,desserts
13210710,desserts
13210750,desserts
13210810,desserts
13210820,desserts
13220110,desserts
13220120,desserts
13220210,desserts
13220220,desserts
13220230,desserts
13220235,desserts
13220240,desserts
13220245,desserts
13230110,desserts
13230120,desserts
13230130,desserts
13230140,desserts
13230200,desserts
13230500,desserts
13230510,desserts
13241000,desserts
13250000,desserts
13250100,desserts
13250200,desserts
13252100,desserts
13252200,desserts
13252500,cheese
13252600,Tiramisu
13310000,cake
13311000,cake
13312000,cake
13411000,"White sauce, milk sauce"
13412000,"Milk gravy, quick gravy"
14010000,cheese
14101010,cheese
14102010,cheese
14103010,cheese
14103020,cheese
14104100,cheese
14104110,cheese
14104115,cheese
14104200,cheese
14104250,cheese
14104400,cheese
14104600,cheese
14104700,cheese
14105010,cheese
14105200,cheese
14106010,cheese
14106200,cheese
14106500,cheese
14107010,cheese
14107020,cheese
14107030,cheese
14107040,cheese
14107060,cheese
14107200,cheese
14107250,cheese
14108010,cheese
14108015,cheese
14108020,cheese
14108060,cheese
14108200,cheese
14108400,cheese
14108420,cheese
14109010,cheese
14109020,cheese
14109030,cheese
14109040,cheese
14110010,cheese
14120010,cheese
14120020,cheese
14131000,cheese
14131500,cheese
14132000,cheese
14133000,cheese
14134000,cheese
14200100,cheese
14201010,cheese
14201200,cheese
14201500,cheese
14202010,cheese
14202020,cheese
14203010,cheese
14203020,cheese
14203510,cheese
14204010,cheese
14204020,cheese
14204030,cheese
14206010,cheese
14207010,cheese
14301010,cheese
14303010,cheese
14410100,cheese
14410110,cheese
14410120,cheese
14410130,cheese
14410210,cheese
14410330,cheese
14410380,cheese
14410500,cheese
14410600,cheese
14410620,cheese
14420100,cheese
14420160,cheese
14420200,cheese
14420210,cheese
14420300,cheese
14502000,cheese
14610200,cheese
14610210,cheese
14610250,cheese
14610520,cheese
14620100,cheese
14620120,cheese
14620150,cheese
14620200,cheese
14620300,cheese
14620310,cheese
14620320,cheese
14620330,cheese
14630100,cheese
14630200,cheese
14630300,cheese
14640000,cheese
14640100,cheese
14640200,cheese
14650100,cheese
14650150,cheese
14650160,cheese
14660200,cheese
14670000,cheese
14710100,soup
14710200,soup
20000000,meat
20000070,meat
20000090,meat
20000200,meat
21000100,meat
21000110,meat
21000120,meat
21001000,meat
21001010,meat
21001020,meat
21002000,meat
21003000,meat
21101000,meat
21101010,meat
21101020,meat
21101110,meat
21101120,meat
21101130,meat
21102110,meat
21102120,meat
21102130,meat
21103110,meat
21103120,meat
21103130,meat
21104110,meat
21104120,meat
21104130,meat
21105110,meat
21105120,meat
21105130,meat
21301000,meat
21302000,meat
21304000,meat
21304110,meat
21304120,meat
21304200,meat
21304210,meat
21304220,meat
21305000,meat
21401000,meat
21401110,meat
21401120,meat
21401400,meat
21407000,meat
21407110,meat
21407120,meat
21410000,meat
21410110,meat
21410120,meat
21416000,meat
21416110,meat
21416120,meat
21416150,meat
21417100,meat
21417110,meat
21417120,meat
21420100,meat
21500000,meat
21500100,meat
21500200,meat
21500300,meat
21501000,meat
21501200,meat
21501300,meat
21501350,meat
21501360,meat
21540100,meat
21601000,meat
21601010,meat
21602000,meat
21602010,meat
21602100,meat
21603000,meat
21701000,meat
21701010,meat
21701020,meat
22000100,meat
22000110,meat
22000120,meat
22000200,meat
22000210,meat
22000220,meat
22000300,meat
22000310,meat
22000320,meat
22001000,meat
22002000,meat
22002100,meat
22002800,meat
22101000,meat
22101010,meat
22101020,meat
22101100,meat
22101110,meat
22101120,meat
22101130,meat
22101140,meat
22101150,meat
22101200,meat
22101210,meat
22101220,meat
22101300,meat
22101310,meat
22101320,meat
22101400,meat
22101410,meat
22101420,meat
22101500,meat
22101510,meat
22101520,meat
22107000,meat
22107010,meat
22107020,meat
22201000,meat
22201010,meat
22201020,meat
22201050,meat
22201060,meat
22201070,meat
22201100,meat
22201110,meat
22201120,meat
22201200,meat
22201210,meat
22201220,meat
22201300,meat
22201310,meat
22201320,meat
22201400,meat
22201410,meat
22201420,meat
22210300,meat
22210310,meat
22210350,meat
22210400,meat
22210450,meat
22300120,meat
22300130,meat
22300140,meat
22300150,meat
22300160,meat
22300170,meat
22301000,meat
22301110,meat
22301120,meat
22311000,meat
22311010,meat
22311020,meat
22311450,meat
22311500,meat
22311510,meat
22311520,meat
22321110,meat
22400100,meat
22400110,meat
22400120,meat
22401000,meat
22401010,meat
22401020,meat
22402510,meat
22411000,meat
22411010,meat
22411020,meat
22421000,meat
22421010,meat
22421020,meat
22431000,meat
22501010,meat
22600100,meat
22600110,meat
22600200,meat
22600210,meat
22601000,meat
22601040,meat
22602010,meat
22621000,meat
22621100,meat
22701000,meat
22701010,meat
22701020,meat
22701030,meat
22701040,meat
22701050,meat
22704010,meat
22705010,meat
22706010,meat
22707010,meat
22707020,meat
22708010,meat
22709010,meat
22709110,meat
22810010,meat
22820000,meat
23000100,meat
23101000,meat
23101010,meat
23101020,meat
23104000,meat
23104010,meat
23104020,meat
23107000,meat
23107010,meat
23107020,meat
23110000,meat
23110010,meat
23110050,meat
23111010,meat
23120100,meat
23120110,meat
23120120,meat
23132000,meat
23150100,meat
23150200,meat
23150250,meat
23150270,meat
23150300,meat
23200100,meat
23200110,meat
23200120,meat
23201010,meat
23201020,meat
23201030,meat
23203010,meat
23203020,meat
23203030,meat
23203100,meat
23203110,meat
23203120,meat
23204010,meat
23204020,meat
23204030,meat
23204200,meat
23204210,meat
23204220,meat
23205010,meat
23205020,meat
23205030,meat
23210010,meat
23210020,meat
23210030,meat
23220010,meat
23220020,meat
23220030,meat
23310000,meat
23311100,meat
23311120,meat
23311200,meat
23321000,meat
23321050,meat
23321100,meat
23321200,meat
23321250,meat
23321900,meat
23322100,meat
23322300,meat
23322350,meat
23322400,meat
23323100,meat
23323500,meat
23324100,meat
23326100,meat
23331100,meat
23332100,meat
23333100,meat
23334100,meat
23335100,meat
23340100,meat
23345100,meat
23350100,meat
23410010,meat
23420010,meat
24100000,chicken
24100010,chicken
24100020,chicken
24102000,chicken
24102010,chicken
24102020,chicken
24103000,chicken
24103010,chicken
24103020,chicken
24104000,chicken
24104001,chicken
24104010,chicken
24104011,chicken
24104020,chicken
24104021,chicken
24107000,chicken
24107001,chicken
24107010,chicken
24107011,chicken
24107020,chicken
24107021,chicken
24107040,chicken
24107041,chicken
24107050,chicken
24107051,chicken
24107060,chicken
24107061,chicken
24120100,chicken
24120110,chicken
24120120,chicken
